created_at,city,retweet_count,favorite_count,followers_count,friends_count,listed_count,favorites_count,statuses_count,text,negative,neutral,positive,compound
2020-10-09 22:23:12-06:00,cheyenne,0,0,109,328,0,11633,1210,  I call games nigga . #lakersin6,0.0,1.0,0.0,0.0
2020-10-09 23:17:37-06:00,cheyenne,0,0,45,270,0,616,606, you had me at Gaping Butthole on Gassy’s stream 😂😂😂,0.162,0.513,0.325,0.8271
2020-10-09 23:15:45-06:00,cheyenne,0,0,279,133,4,7162,3860,"I’m getting soo fat and it not okay, I need to hit the gym fr",0.106,0.894,0.0,-0.1695
2020-10-09 23:10:04-06:00,cheyenne,2,1,15588,300,175,69,11564,"Making the case for $3,000 gold: the power of scarcity  #kineisismoney #markethive ",0.0,1.0,0.0,0.0
2020-10-09 23:09:07-06:00,cheyenne,0,0,161,822,0,11194,1720, Yes. I’m heavily influenced by all forms of media,0.0,0.748,0.252,0.4019
2020-10-09 23:08:45-06:00,cheyenne,0,0,161,822,0,11194,1720, It played a big part in convincing me to go back to school and pursue further education.. so I relate,0.0,0.779,0.221,0.6249
2020-10-09 23:08:02-06:00,cheyenne,0,0,16,206,0,228,1386," So is Arthur going to enter the annual King of Fighters tournament? Terry may have to be careful, Arthur is no joke.",0.13,0.802,0.068,-0.125
2020-10-09 23:06:50-06:00,cheyenne,0,1,161,822,0,11194,1720,"   Isn’t Hulu owned by like, a phone company and Disney? Cause I agree",0.0,0.688,0.312,0.6124
2020-10-09 23:05:16-06:00,cheyenne,0,0,426,494,9,91285,25487,   I don’t get it. Of all things to f up. These losers have no code. They a… ,0.272,0.728,0.0,-0.6808
2020-10-09 23:05:12-06:00,cheyenne,0,0,0,517,5,105,9746,So where are all my Lakers in 5 predictors? Lol fucking clowns.,0.0,0.797,0.203,0.4215
2020-10-09 23:02:26-06:00,cheyenne,0,0,1188,2443,3,5164,1559,Duck you RodRoaenstein! ,0.0,1.0,0.0,0.0
2020-10-09 23:01:13-06:00,cheyenne,0,0,426,494,9,91285,25487,"   Look, antifa and BLM are out campaigning for TRUMP",0.0,1.0,0.0,0.0
2020-10-09 22:59:02-06:00,cheyenne,0,0,500,772,3,9948,5926, What a garbage ass sports day. 🤬,0.259,0.741,0.0,-0.5423
2020-10-09 22:56:51-06:00,cheyenne,0,1,191,285,2,3152,1089,YESSSSIRRRRR 🎙 ,0.0,1.0,0.0,0.0
2020-10-09 22:53:03-06:00,cheyenne,0,0,63,48,1,2,2105,"CFC Changed Something: October 10, 2020 ",0.0,1.0,0.0,0.0
